Month,#FlightsDelayed/#Flights	
1,0.03225806452
2,0.1728395062
3,0.1517857143
4,0.06481481481
5,0.1896551724
6,0.09302325581
7,0.05825242718
8,0.05882352941
9,0.06818181818
10,0.1651376147
11,0.05769230769
12,0.1515151515
